번호,기간,지역,상표,셀프여부,휘발유
기준 : 일간(20180601~20180607),,,,,
A0011536,20180601.0,강원 강릉시,SK에너지,셀프,1579.0
A0011536,20180602.0,강원 강릉시,SK에너지,셀프,1579.0
A0011536,20180603.0,강원 강릉시,SK에너지,셀프,1579.0
A0011536,20180604.0,강원 강릉시,SK에너지,셀프,1579.0
A0011536,20180605.0,강원 강릉시,SK에너지,셀프,1579.0
A0011536,20180606.0,강원 강릉시,SK에너지,셀프,1579.0
A0011536,20180607.0,강원 강릉시,SK에너지,셀프,1579.0
A0011352,20180601.0,강원 강릉시,S-OIL,셀프,1575.0
A0011352,20180602.0,강원 강릉시,S-OIL,셀프,1575.0
A0011352,20180603.0,강원 강릉시,S-OIL,셀프,1575.0
A0011352,20180604.0,강원 강릉시,S-OIL,셀프,1574.0
A0011352,20180605.0,강원 강릉시,S-OIL,셀프,1574.0
A0011352,20180606.0,강원 강릉시,S-OIL,셀프,1574.0
A0011352,20180607.0,강원 강릉시,S-OIL,셀프,1574.0
A0010562,20180601.0,강원 강릉시,SK에너지,셀프,1579.0
A0010562,20180602.0,강원 강릉시,SK에너지,셀프,1579.0
A0010562,20180603.0,강원 강릉시,SK에너지,셀프,1579.0
A0010562,20180604.0,강원 강릉시,SK에너지,셀프,1579.0
A0010562,20180605.0,강원 강릉시,SK에너지,셀프,1579.0
A0010562,20180606.0,강원 강릉시,SK에너지,셀프,1579.0
A0010562,20180607.0,강원 강릉시,SK에너지,셀프,1579.0
A0032684,20180601.0,강원 강릉시,SK에너지,셀프,1599.0
A0032684,20180602.0,강원 강릉시,SK에너지,셀프,1599.0
A0032684,20180603.0,강원 강릉시,SK에너지,셀프,1599.0
A0032684,20180604.0,강원 강릉시,SK에너지,셀프,1599.0
A0032684,20180605.0,강원 강릉시,SK에너지,셀프,1599.0
A0032684,20180606.0,강원 강릉시,SK에너지,셀프,1599.0
A0032684,20180607.0,강원 강릉시,SK에너지,셀프,1599.0
A0011610,20180601.0,강원 강릉시,S-OIL,일반,1598.0
A0011610,20180602.0,강원 강릉시,S-OIL,일반,1598.0
A0011610,20180603.0,강원 강릉시,S-OIL,일반,1598.0
A0011610,20180604.0,강원 강릉시,S-OIL,일반,1598.0
A0011610,20180605.0,강원 강릉시,S-OIL,일반,1598.0
A0011610,20180606.0,강원 강릉시,S-OIL,일반,1598.0
A0011610,20180607.0,강원 강릉시,S-OIL,일반,1598.0
A0011518,20180601.0,강원 강릉시,SK에너지,일반,1580.0
A0011518,20180602.0,강원 강릉시,SK에너지,일반,1580.0
A0011518,20180603.0,강원 강릉시,SK에너지,일반,1580.0
A0011518,20180604.0,강원 강릉시,SK에너지,일반,1580.0
A0011518,20180605.0,강원 강릉시,SK에너지,일반,1580.0
A0011518,20180606.0,강원 강릉시,SK에너지,일반,1580.0
A0011518,20180607.0,강원 강릉시,SK에너지,일반,1580.0
A0011538,20180601.0,강원 강릉시,현대오일뱅크,셀프,1595.0
A0011538,20180602.0,강원 강릉시,현대오일뱅크,셀프,1595.0
A0011538,20180603.0,강원 강릉시,현대오일뱅크,셀프,1595.0
A0011538,20180604.0,강원 강릉시,현대오일뱅크,셀프,1595.0
A0011538,20180605.0,강원 강릉시,현대오일뱅크,셀프,1595.0
A0011538,20180606.0,강원 강릉시,현대오일뱅크,셀프,1595.0
A0011538,20180607.0,강원 강릉시,현대오일뱅크,셀프,1595.0
A0011342,20180601.0,강원 강릉시,GS칼텍스,셀프,1658.0
A0011342,20180602.0,강원 강릉시,GS칼텍스,셀프,1658.0
A0011342,20180603.0,강원 강릉시,GS칼텍스,셀프,1658.0
A0011342,20180604.0,강원 강릉시,GS칼텍스,셀프,1658.0
A0011342,20180605.0,강원 강릉시,GS칼텍스,셀프,1658.0
A0011342,20180606.0,강원 강릉시,GS칼텍스,셀프,1658.0
A0011342,20180607.0,강원 강릉시,GS칼텍스,셀프,1658.0
A0011555,20180601.0,강원 강릉시,알뜰(ex),셀프,1574.0
A0011555,20180602.0,강원 강릉시,알뜰(ex),셀프,1610.0
A0011555,20180603.0,강원 강릉시,알뜰(ex),셀프,1612.0
A0011555,20180604.0,강원 강릉시,알뜰(ex),셀프,1579.0
A0011555,20180605.0,강원 강릉시,알뜰(ex),셀프,1580.0
A0011555,20180606.0,강원 강릉시,알뜰(ex),셀프,1580.0
A0011555,20180607.0,강원 강릉시,알뜰(ex),셀프,1578.0
A0011572,20180601.0,강원 강릉시,SK에너지,일반,1639.0
A0011572,20180602.0,강원 강릉시,SK에너지,일반,1639.0
A0011572,20180603.0,강원 강릉시,SK에너지,일반,1639.0
A0011572,20180604.0,강원 강릉시,SK에너지,일반,1639.0
A0011572,20180605.0,강원 강릉시,SK에너지,일반,1639.0
A0011572,20180606.0,강원 강릉시,SK에너지,일반,1639.0
A0011572,20180607.0,강원 강릉시,SK에너지,일반,1639.0
A0011570,20180601.0,강원 강릉시,SK에너지,일반,1639.0
A0011570,20180602.0,강원 강릉시,SK에너지,일반,1639.0
A0011570,20180603.0,강원 강릉시,SK에너지,일반,1639.0
A0011570,20180604.0,강원 강릉시,SK에너지,일반,1639.0
A0011570,20180605.0,강원 강릉시,SK에너지,일반,1639.0
A0011570,20180606.0,강원 강릉시,SK에너지,일반,1639.0
A0011570,20180607.0,강원 강릉시,SK에너지,일반,1639.0
A0011571,20180601.0,강원 강릉시,SK에너지,셀프,1639.0
A0011571,20180602.0,강원 강릉시,SK에너지,셀프,1639.0
A0011571,20180603.0,강원 강릉시,SK에너지,셀프,1639.0
A0011571,20180604.0,강원 강릉시,SK에너지,셀프,1639.0
A0011571,20180605.0,강원 강릉시,SK에너지,셀프,1639.0
A0011571,20180606.0,강원 강릉시,SK에너지,셀프,1639.0
A0011571,20180607.0,강원 강릉시,SK에너지,셀프,1639.0
A0011577,20180601.0,강원 강릉시,SK에너지,셀프,1629.0
A0011577,20180602.0,강원 강릉시,SK에너지,셀프,1629.0
A0011577,20180603.0,강원 강릉시,SK에너지,셀프,1629.0
A0011577,20180604.0,강원 강릉시,SK에너지,셀프,1629.0
A0011577,20180605.0,강원 강릉시,SK에너지,셀프,1629.0
A0011577,20180606.0,강원 강릉시,SK에너지,셀프,1629.0
A0011577,20180607.0,강원 강릉시,SK에너지,셀프,1629.0
A0011607,20180601.0,강원 강릉시,S-OIL,일반,1598.0
A0011607,20180602.0,강원 강릉시,S-OIL,일반,1598.0
A0011607,20180603.0,강원 강릉시,S-OIL,일반,1598.0
A0011607,20180604.0,강원 강릉시,S-OIL,일반,1598.0
A0011607,20180605.0,강원 강릉시,S-OIL,일반,1598.0
A0011607,20180606.0,강원 강릉시,S-OIL,일반,1598.0
A0011607,20180607.0,강원 강릉시,S-OIL,일반,1598.0
A0011360,20180601.0,강원 강릉시,현대오일뱅크,일반,1585.0
A0011360,20180602.0,강원 강릉시,현대오일뱅크,일반,1585.0
A0011360,20180603.0,강원 강릉시,현대오일뱅크,일반,1585.0
A0011360,20180604.0,강원 강릉시,현대오일뱅크,일반,1585.0
A0011360,20180605.0,강원 강릉시,현대오일뱅크,일반,1585.0
A0011360,20180606.0,강원 강릉시,현대오일뱅크,일반,1585.0
A0011360,20180607.0,강원 강릉시,현대오일뱅크,일반,1585.0
A0011489,20180601.0,강원 강릉시,현대오일뱅크,셀프,1595.0
A0011489,20180602.0,강원 강릉시,현대오일뱅크,셀프,1595.0
A0011489,20180603.0,강원 강릉시,현대오일뱅크,셀프,1595.0
A0011489,20180604.0,강원 강릉시,현대오일뱅크,셀프,1595.0
A0011489,20180605.0,강원 강릉시,현대오일뱅크,셀프,1595.0
A0011489,20180606.0,강원 강릉시,현대오일뱅크,셀프,1595.0
A0011489,20180607.0,강원 강릉시,현대오일뱅크,셀프,1595.0
A0011548,20180601.0,강원 강릉시,NH-OIL,일반,1575.0
A0011548,20180602.0,강원 강릉시,NH-OIL,일반,1575.0
A0011548,20180603.0,강원 강릉시,NH-OIL,일반,1575.0
A0011548,20180604.0,강원 강릉시,NH-OIL,일반,1575.0
A0011548,20180605.0,강원 강릉시,NH-OIL,일반,1575.0
A0011548,20180606.0,강원 강릉시,NH-OIL,일반,1575.0
A0011548,20180607.0,강원 강릉시,NH-OIL,일반,1575.0
A0011549,20180601.0,강원 강릉시,NH-OIL,일반,1575.0
A0011549,20180602.0,강원 강릉시,NH-OIL,일반,1575.0
A0011549,20180603.0,강원 강릉시,NH-OIL,일반,1575.0
A0011549,20180604.0,강원 강릉시,NH-OIL,일반,1575.0
A0011549,20180605.0,강원 강릉시,NH-OIL,일반,1575.0
A0011549,20180606.0,강원 강릉시,NH-OIL,일반,1575.0
A0011549,20180607.0,강원 강릉시,NH-OIL,일반,1575.0
A0011547,20180601.0,강원 강릉시,NH-OIL,일반,1570.0
A0011547,20180602.0,강원 강릉시,NH-OIL,일반,1575.0
A0011547,20180603.0,강원 강릉시,NH-OIL,일반,1575.0
A0011547,20180604.0,강원 강릉시,NH-OIL,일반,1575.0
A0011547,20180605.0,강원 강릉시,NH-OIL,일반,1575.0
A0011547,20180606.0,강원 강릉시,NH-OIL,일반,1575.0
A0011547,20180607.0,강원 강릉시,NH-OIL,일반,1575.0
A0011351,20180601.0,강원 강릉시,S-OIL,셀프,1564.0
A0011351,20180602.0,강원 강릉시,S-OIL,셀프,1564.0
A0011351,20180603.0,강원 강릉시,S-OIL,셀프,1564.0
A0011351,20180604.0,강원 강릉시,S-OIL,셀프,1564.0
A0011351,20180605.0,강원 강릉시,S-OIL,셀프,1564.0
A0011351,20180606.0,강원 강릉시,S-OIL,셀프,1564.0
A0011351,20180607.0,강원 강릉시,S-OIL,셀프,1564.0
A0011353,20180601.0,강원 강릉시,S-OIL,셀프,1597.0
A0011353,20180602.0,강원 강릉시,S-OIL,셀프,1597.0
A0011353,20180603.0,강원 강릉시,S-OIL,셀프,1597.0
A0011353,20180604.0,강원 강릉시,S-OIL,셀프,1597.0
A0011353,20180605.0,강원 강릉시,S-OIL,셀프,1597.0
A0011353,20180606.0,강원 강릉시,S-OIL,셀프,1597.0
A0011353,20180607.0,강원 강릉시,S-OIL,셀프,1597.0
A0000160,20180601.0,강원 강릉시,GS칼텍스,일반,1639.0
A0000160,20180602.0,강원 강릉시,GS칼텍스,일반,1639.0
A0000160,20180603.0,강원 강릉시,GS칼텍스,일반,1639.0
A0000160,20180604.0,강원 강릉시,GS칼텍스,일반,1639.0
A0000160,20180605.0,강원 강릉시,GS칼텍스,일반,1639.0
A0000160,20180606.0,강원 강릉시,GS칼텍스,일반,1639.0
A0000160,20180607.0,강원 강릉시,GS칼텍스,일반,1639.0
A0011388,20180601.0,강원 강릉시,S-OIL,일반,1595.0
A0011388,20180602.0,강원 강릉시,S-OIL,일반,1595.0
A0011388,20180603.0,강원 강릉시,S-OIL,일반,1595.0
A0011388,20180604.0,강원 강릉시,S-OIL,일반,1595.0
A0011388,20180605.0,강원 강릉시,S-OIL,일반,1595.0
A0011388,20180606.0,강원 강릉시,S-OIL,일반,1595.0
A0011388,20180607.0,강원 강릉시,S-OIL,일반,1595.0
A0011491,20180601.0,강원 강릉시,GS칼텍스,일반,1629.0
A0011491,20180602.0,강원 강릉시,GS칼텍스,일반,1629.0
A0011491,20180603.0,강원 강릉시,GS칼텍스,일반,1629.0
A0011491,20180604.0,강원 강릉시,GS칼텍스,일반,1639.0
A0011491,20180605.0,강원 강릉시,GS칼텍스,일반,1639.0
A0011491,20180606.0,강원 강릉시,GS칼텍스,일반,1639.0
A0011491,20180607.0,강원 강릉시,GS칼텍스,일반,1639.0
A0010217,20180601.0,강원 강릉시,알뜰(ex),셀프,1575.0
